name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
los angeles,2025-02-27,83.5,50.7,66,80.8,50.7,65.8,37.8,42.3,0,0,0,,0,0,18.3,13.1,335.1,1016,18.2,8.7,201.5,17.6,7,,2025-02-27T06:23:38,2025-02-27T17:48:07,0,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-02-28,66.9,55.8,60,66.9,55.8,60,46.8,63.2,0,0,0,,0,0,19.9,13.9,242.5,1014,30.6,9.9,205.5,17.8,8,,2025-02-28T06:22:24,2025-02-28T17:48:58,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,72295603167,F1624,CQ070"
los angeles,2025-03-01,61.9,55.6,57.8,61.9,55.6,57.8,49.5,74.1,0,0,0,,0,0,25.3,11,229.2,1015,84.4,9.5,78.6,6.7,4,,2025-03-01T06:21:09,2025-03-01T17:49:49,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,72295603167,F1624,CQ070"
los angeles,2025-03-02,61.5,53.3,57.2,61.5,53.3,57.2,46.2,67.5,0,0,0,,0,0,41.7,24.1,267.3,1018.3,53.3,9.9,216.5,18.7,8,,2025-03-02T06:19:54,2025-03-02T17:50:40,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-03-03,62.8,48.1,55.4,62.8,46.5,55.2,38.8,54.9,0,0,0,,0,0,28.9,17.8,286.3,1017.6,9.6,9.9,229,19.7,8,,2025-03-03T06:18:38,2025-03-03T17:51:30,0.13,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,72295603167,F1624,CQ070"
los angeles,2025-03-04,64,51.9,56.4,64,51.9,56.4,46.3,70.1,0,0,0,,0,0,23.5,12.7,201.4,1020.9,32.2,9.8,212.9,18.5,8,,2025-03-04T06:17:22,2025-03-04T17:52:20,0.17,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-03-05,56.6,51.1,53.2,56.6,51.1,53.2,49.6,87.7,0.381,100,45.83,rain,0,0,26.7,13.8,210.4,1014.7,74.4,6.9,42.3,3.7,2,,2025-03-05T06:16:05,2025-03-05T17:53:10,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-03-06,55.9,47.3,50.7,55.9,44.3,49.7,42.2,73.2,0.102,100,20.83,rain,0,0,37.8,18.8,268.9,1011.9,64.3,9.8,134,11.4,7,,2025-03-06T06:14:48,2025-03-06T17:53:59,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-03-07,62.3,46.8,53.8,62.3,43.9,52.8,39.7,60.5,0,0,0,,0,0,28.8,18.1,298.4,1016.1,9.1,9.9,246.8,21.2,8,,2025-03-07T06:13:30,2025-03-07T17:54:48,0.27,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
los angeles,2025-03-08,63.8,46,54.7,63.8,46,54.7,43.6,67.5,0,0,0,,0,0,17.9,12.2,267.2,1024.4,6.2,9.9,241.4,20.9,8,,2025-03-08T06:12:11,2025-03-08T17:55:37,0.31,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,SE428,72295603167,F1624,CQ070"
